system:index,NDVI,Soil_Moisture,VH,VV,.geo
0,0.50499004,16.777376,-15.624951397064084,-8.58922478044008,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.86272574389359,11.004362230464139]}"
1,0.5842986,18.732174,-14.149267686687928,-5.875264182543005,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.95255727230554,11.004362230464139]}"
2,0.5611871,18.732174,-13.98251773045212,-6.014696749076127,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.04238880071749,11.004362230464139]}"
3,0.58531743,18.194862,-13.834517996376176,-6.614634320912653,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.13222032912944,11.004362230464139]}"
4,0.57627654,18.44036,-14.481931365386451,-6.971209251494655,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.2220518575414,11.004362230464139]}"
5,0.62935555,18.44036,-14.102269132277254,-6.699634575467604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.31188338595335,11.004362230464139]}"
6,0.64759463,16.530365,-14.507847817231813,-6.591071968830122,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.4017149143653,11.004362230464139]}"
7,0.61338717,16.530365,-14.553729456845437,-7.217252863593443,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.49154644277725,11.004362230464139]}"
8,0.7650819,9.416855,-14.115505480454843,-7.222790166819549,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.5813779711892,11.004362230464139]}"
9,0.784282,8.774603,-14.119426952500788,-7.32388741856999,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.67120949960116,11.004362230464139]}"
10,0.40778184,8.774603,-16.48953978177353,-9.094428504747333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.76104102801311,11.004362230464139]}"
11,0.3025869,7.830033,-14.651011481798385,-7.747766339802227,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85087255642506,11.004362230464139]}"
12,0.30552936,7.581403,-15.514050923459859,-8.402489173652178,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94070408483701,11.004362230464139]}"
13,0.19091673,7.581403,-12.803109490635014,-5.702105385609415,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03053561324897,11.004362230464139]}"
14,0.27231613,7.7312994,-17.651249165788144,-11.619612217617814,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12036714166092,11.004362230464139]}"
15,0.23687366,8.766263,-17.88994099534188,-8.632245641033114,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21019867007287,11.004362230464139]}"
16,0.2518019,8.766263,-16.711809230952653,-7.643404351738406,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30003019848482,11.004362230464139]}"
17,0.2934727,8.971011,-16.85998963949326,-9.713741960069596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38986172689677,11.004362230464139]}"
18,0.44466373,8.971011,-15.884871473009659,-8.342955616325549,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47969325530873,11.004362230464139]}"
19,0.23525162,9.10698,-15.780663751844058,-5.9765584569499355,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.56952478372068,11.004362230464139]}"
20,0.39267287,8.834363,-16.920603302112514,-10.155925683781327,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65935631213263,11.004362230464139]}"
21,0.5212781,8.834363,-15.819815547786721,-8.79968397086387,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74918784054458,11.004362230464139]}"
22,0.34453782,8.059807,-17.032587460368973,-10.16853062830972,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83901936895654,11.004362230464139]}"
23,0.3448795,8.127675,-17.00008473021135,-10.370471281470731,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.92885089736849,11.004362230464139]}"
24,0.26868987,8.127675,-18.214263566101664,-10.786102406091496,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.01868242578044,11.004362230464139]}"
25,0.2599764,7.660628,-18.699814303443787,-10.866844895566956,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.10851395419239,11.004362230464139]}"
26,0.4184583,8.190736,-15.611516166577193,-7.926239176489807,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.19834548260434,11.004362230464139]}"
27,0.29211387,8.190736,-19.16078728992426,-11.782601589653385,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.2881770110163,11.004362230464139]}"
28,0.38168344,8.12315,-17.176801393497385,-10.472866625559034,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.37800853942825,11.004362230464139]}"
29,0.23396675,8.12315,-19.052418281202165,-11.340595020558151,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.4678400678402,11.004362230464139]}"
30,0.31164384,7.1846657,-18.432149777480518,-11.573729986523478,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.55767159625215,11.004362230464139]}"
31,0.32568485,7.607086,-17.111807624588103,-10.143208359142132,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.6475031246641,11.004362230464139]}"
32,0.3407497,7.607086,-16.675327394882693,-10.223652938187115,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.73733465307606,11.004362230464139]}"
33,0.3461349,7.777159,-16.623575872048953,-9.43540055994554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.82716618148801,11.004362230464139]}"
34,0.3194997,8.544544,-16.971432850568682,-10.274252238956286,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.91699770989996,11.004362230464139]}"
35,0.5914042,17.455292,-14.48296250854947,-6.8189736150327205,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.86272574389359,11.09419375887609]}"
36,0.60330063,19.447517,-13.987036783260287,-6.395627710439982,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.95255727230554,11.09419375887609]}"
37,0.60761154,19.447517,-13.920895733802157,-6.830325286194094,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.04238880071749,11.09419375887609]}"
38,0.58367604,19.375849,-14.243742226118856,-7.0745694492607045,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.13222032912944,11.09419375887609]}"
